snid,class
93852051,EB
133953454,DSCT
156704754,DSCT
94869465,DSCT
143158599,EB
97209193,EB
118286557,DSCT
145870285,DSCT
107197896,EB
34324163,RRL
34829837,RRL
157406000,CEP
122530507,DSCT
67561377,DSCT
121329087,DSCT
111825956,CEP
118987354,CEP
38244498,DSCT
107444066,CEP
43986737,RRL
1574715,RRL
15834854,DSCT
6727535,RRL
129466762,DSCT
84351477,CEP
73130868,DSCT
69330474,EB
49662434,EB
129616639,EB
59674930,EB
79760425,EB
5278445,EB
50454525,RRL
41677216,EB
91518512,DSCT
131225139,DSCT
62213086,RRL
112417050,EB
8924533,RRL
32355304,DSCT
49131680,DSCT
81436792,DSCT
7226245,CEP
123777459,EB
133085134,EB
43651809,DSCT
4813549,DSCT
7327307,DSCT
122890278,CEP
106012967,EB
141612288,CEP
128759752,EB
108207970,DSCT
155040956,EB
105473593,DSCT
47905128,RRL
146455002,CEP
10109960,CEP
69080514,EB
36555319,EB
59654691,RRL
134686515,EB
68469871,CEP
18253394,RRL
70666985,CEP
1960760,RRL
130745784,CEP
45585289,CEP
55751240,CEP
37097991,DSCT
80575106,CEP
150311937,CEP
6478197,RRL
102226989,CEP
59599701,RRL
78363438,EB
42178656,CEP
139907056,CEP
19611654,RRL
77480759,EB
94881640,CEP
116509792,EB
29722190,RRL
150755569,DSCT
23857201,DSCT
45651190,CEP
145346043,EB
105037678,EB
53441798,DSCT
19485000,DSCT
1247849,RRL
7304435,CEP
131915559,DSCT
74269555,DSCT
22850838,RRL
62535237,CEP
93153392,DSCT
74376057,EB
114665578,EB
3099480,DSCT
155830144,DSCT
78762264,EB
130950085,CEP
98223230,CEP
4321572,DSCT
1867610,RRL
62047777,RRL
82592157,EB
115190521,DSCT
102470411,DSCT
66138269,RRL
42827273,DSCT
53532881,EB
157124651,EB
27226752,RRL
122266006,EB
73171124,DSCT
5488712,CEP
59513828,DSCT
54092463,CEP
106127662,EB
127129879,EB
23541810,RRL
94166681,EB
28164826,CEP
84945195,EB
33260862,EB
19131686,RRL
83087444,EB
102227408,DSCT
50537100,DSCT
59245585,CEP
40490521,RRL
54865275,RRL
129261155,EB
146388564,EB
144351489,DSCT
21516021,DSCT
36416163,RRL
120307057,EB
51650841,DSCT
46097179,RRL
143695181,CEP
48989806,RRL
50710360,RRL
2227994,DSCT
142136783,EB
29654513,RRL
114063946,EB
45393070,CEP
100494360,DSCT
34882116,CEP
12051774,RRL
75998173,EB
28286253,DSCT
45790032,EB
100957077,DSCT
87475659,CEP
14291647,EB
66836237,RRL
126162199,EB
15815906,RRL
102012435,EB
39391411,CEP
28579022,RRL
85884068,EB
121528401,CEP
60752230,RRL
39700060,RRL
41050339,RRL
146414053,DSCT
86845114,DSCT
19968855,RRL
11531830,RRL
11218222,RRL
61444829,RRL
101734527,CEP
153924478,CEP
131167044,CEP
44769365,CEP
42134694,RRL
106144939,EB
6958930,CEP
40008750,RRL
41475399,RRL
105597938,EB
86816895,EB
13813107,EB
130029412,CEP
64026012,RRL
148343662,DSCT
4045481,RRL
120343594,EB
70202269,RRL
153290083,EB
32302896,DSCT
81249021,EB
23604684,RRL
104763026,EB
75585879,EB
112505806,EB
62647378,RRL
146314449,EB
141223070,CEP
150812225,CEP
33565972,CEP
117057200,EB
42104222,DSCT
48066178,RRL
37383742,DSCT
46389110,CEP
115784944,EB
63585101,DSCT
137470925,CEP
83777184,EB
50328562,RRL
157244157,EB
112091369,DSCT
44941339,DSCT
17285911,RRL
120192459,EB
158182542,DSCT
149244921,EB
40327437,RRL
144166754,DSCT
25112343,DSCT
108820794,EB
116278435,DSCT
33399067,EB
52722782,CEP
20781571,EB
106529338,DSCT
21086458,CEP
6960400,DSCT
48849771,CEP
71201527,DSCT
84893359,EB
126439166,EB
10705923,DSCT
134402140,EB
81494859,EB
51099002,DSCT
136467906,EB
129538722,CEP
109108598,CEP
85241873,EB
46700871,CEP
131507788,CEP
1712457,DSCT
1614335,DSCT
39189272,CEP
141286586,EB
102732937,DSCT
13472845,RRL
114173440,EB
70323604,DSCT
96572906,CEP
58948948,RRL
148244854,DSCT
126824047,CEP
90337810,CEP
85730347,EB
29368758,RRL
99522418,DSCT
49451002,RRL
99535996,CEP
82199344,EB
33642208,CEP
71469854,DSCT
104175907,CEP
2462717,RRL
82285840,CEP
91762855,CEP
60921843,CEP
137288908,CEP
6852808,RRL
5594007,RRL
92455936,EB
105051956,EB
146389225,CEP
10042875,DSCT
116040177,DSCT
51980542,RRL
65567820,RRL
31438764,EB
42398365,RRL
14973118,EB
133092529,CEP
112246000,CEP
20714861,EB
35854515,RRL
18113255,DSCT
96312871,DSCT
2275145,RRL
7280671,CEP
22701420,DSCT
115790147,CEP
40797004,CEP
153927900,EB
145228987,CEP
47886961,RRL
6199650,DSCT
41239081,DSCT
18495251,RRL
22194238,RRL
51460829,DSCT
38641923,DSCT
34471267,RRL
56838316,CEP
83447243,CEP
89134814,CEP
84040453,DSCT
124883124,EB
7272087,DSCT
154665591,EB
149601580,DSCT
135589433,DSCT
154140600,CEP
2203889,RRL
73705882,DSCT
74796831,CEP
121015680,DSCT
56223161,RRL
30384250,RRL
2169082,RRL
152486433,CEP
62244207,EB
98475309,CEP
106154383,DSCT
100979599,EB
124424298,CEP
92956445,DSCT
16402275,CEP
65820682,DSCT
157773463,EB
88503081,CEP
56279929,DSCT
39346679,RRL
127926383,DSCT
10725629,EB
158562230,EB
11535666,RRL
21276043,CEP
49880081,EB
70945950,RRL
52310003,CEP
133157313,EB
144265310,CEP
72302640,RRL
29134087,RRL
140566513,CEP
2083540,RRL
146742407,CEP
124533075,CEP
13235905,EB
4825537,RRL
44159469,DSCT
22676424,RRL
139014019,EB
125216312,CEP
139845849,EB
61000156,RRL
128729463,EB
70768429,RRL
55461733,RRL
75401791,EB
10489113,RRL
56934698,EB
128967894,DSCT
11076683,RRL
45223146,RRL
117092939,DSCT
64455343,RRL
49740701,RRL
1271768,RRL
86896258,DSCT
65526420,RRL
60779493,RRL
4712921,CEP
110645392,EB
40312047,RRL
105063427,EB
72334676,RRL
88097104,EB
7767476,RRL
149822330,DSCT
149511301,DSCT
58609773,CEP
69269004,CEP
62749332,DSCT
10361086,DSCT
153538716,CEP
49777821,RRL
43602362,RRL
153393834,EB
14685526,RRL
33207635,CEP
27752317,CEP
158835703,EB
91532458,CEP
108197588,CEP
67718204,RRL
24293960,EB
49938275,RRL
149126456,CEP
136946226,EB
62023460,DSCT
3863987,RRL
2877395,RRL
94973653,EB
105227080,CEP
57711041,EB
121531052,CEP
41181682,EB
33928100,DSCT
35970909,CEP
90564445,CEP
135122151,CEP
14568473,RRL
53664365,CEP
141519921,DSCT
116973160,EB
73996734,DSCT
49777928,RRL
37353709,CEP
64373260,RRL
145644346,EB
44886868,DSCT
40795584,RRL
56128191,CEP
55051756,RRL
55795435,EB
46770224,DSCT
1624942,EB
51537431,EB
67546404,RRL
134633474,EB
66350912,DSCT
49471579,CEP
82183638,EB
142404311,EB
138465796,CEP
70981991,RRL
9577884,RRL
99607578,DSCT
28734141,RRL
128035514,EB
102552585,DSCT
17943343,RRL
113610585,EB
87168747,CEP
156538684,EB
47704658,DSCT
159116511,DSCT
72223632,RRL
153712047,DSCT
135500324,DSCT
36053039,RRL
151006782,DSCT
76179645,DSCT
116588180,DSCT
42793041,CEP
52026729,EB
51368780,CEP
33515170,DSCT
60868383,RRL
56866001,RRL
4674915,RRL
18562478,RRL
47948712,RRL
159353778,EB
10827490,RRL
82638262,CEP
92528135,EB
87071480,CEP
141700229,EB
34911427,EB
69345403,CEP
153714922,CEP
134950537,CEP
60785518,RRL
24798856,EB
116688355,EB
118458310,CEP
58020436,EB
135805579,CEP
6107777,CEP
110011063,EB
59852364,DSCT
42553443,RRL
6533773,RRL
128890507,DSCT
16620278,CEP
143169879,CEP
26730673,RRL
130717017,EB
42855208,RRL
94931158,EB
35331366,EB
12997344,CEP
86485814,CEP
54092295,EB
30742836,DSCT
73513831,CEP
122302528,DSCT
63321183,DSCT
32381972,CEP
61745883,RRL
143000761,EB
77727802,DSCT
63147117,RRL
145286546,CEP
146623674,DSCT
77840509,EB
76883347,CEP
43866234,RRL
128968979,EB
123180589,CEP
159369738,DSCT
42058957,RRL
35008779,DSCT
87554228,EB
98422852,DSCT
20744599,RRL
85221830,CEP
99898123,EB
142267981,CEP
114985868,CEP
158642461,EB
18804356,RRL
13010359,RRL
29778631,DSCT
7694514,DSCT
55326471,DSCT
137651142,CEP
72511036,EB
22421046,DSCT
82436533,CEP
16516086,DSCT
120901747,EB
33085370,RRL
42500945,RRL
49584728,DSCT
13593641,DSCT
133907874,EB
24479499,RRL
23229449,RRL
21580052,RRL
94602724,CEP
86413085,DSCT
15342115,CEP
20210805,RRL
16303314,DSCT
25179325,RRL
139237145,CEP
126827145,DSCT
28619153,RRL
10775761,RRL
114644696,DSCT
124006927,EB
143033785,DSCT
155929551,DSCT
2230750,DSCT
42356147,DSCT
1012677,EB
93028292,EB
93205933,EB
71035670,RRL
63689804,RRL
114173052,CEP
151632027,CEP
1484457,RRL
152369113,CEP
103148128,EB
63923648,RRL
62888969,EB
5259620,RRL
39233291,RRL
135189584,DSCT
26186077,RRL
81231917,CEP
5040539,DSCT
152202868,EB
18393650,RRL
31877174,DSCT
41294245,RRL
141995422,DSCT
3682856,CEP
75689899,DSCT
158025714,DSCT
95963698,DSCT
23792115,CEP
1480758,EB
54944387,CEP
82138685,CEP
156339224,CEP
60055259,CEP
17960110,CEP
29295941,DSCT
40470638,CEP
158993580,EB
22432578,RRL
156011529,EB
148517482,CEP
154725834,EB
3054706,RRL
35019870,DSCT
88482592,DSCT
149679110,DSCT
18930469,RRL
99763349,CEP
128797518,EB
46383849,CEP
77382913,EB
36537357,DSCT
152691479,CEP
70781811,RRL
1259013,RRL
45292938,DSCT
51025794,RRL
19640274,RRL
106779911,EB
21234550,EB
115844977,DSCT
95004026,DSCT
32052559,DSCT
118666030,DSCT
122863316,EB
107828208,CEP
1253826,RRL
68567599,EB
20564061,RRL
62842690,DSCT
128030556,CEP
63796687,DSCT
22098513,EB
157839172,DSCT
85706952,CEP
36318505,DSCT
43191093,RRL
128918980,EB
57123437,EB
14503509,DSCT
144864752,DSCT
126562559,DSCT
39130510,DSCT
125596824,EB
145511234,EB
147410567,CEP
97400643,CEP
106637001,DSCT
51631952,RRL
138700544,EB
6163362,EB
64949789,DSCT
24616984,RRL
118963090,EB
159467630,CEP
39775322,EB
98798863,DSCT
59530608,RRL
53070473,CEP
19030167,RRL
47549192,DSCT
125208450,EB
70432804,CEP
8683169,DSCT
127939651,EB
44783625,DSCT
16965231,RRL
12218735,CEP
114566951,DSCT
15308955,RRL
155190727,EB
132533410,EB
152846828,EB
18286109,CEP
97205987,EB
91457685,CEP
133007618,CEP
16453017,DSCT
11765376,RRL
10550463,RRL
100933415,DSCT
42166343,DSCT
25685885,RRL
54449945,RRL
36962926,RRL
114824525,DSCT
135246037,DSCT
101069655,CEP
71744349,RRL
28601193,DSCT
50045634,RRL
138444827,DSCT
110431630,EB
100644879,CEP
44533953,RRL
8476747,RRL
18550599,CEP
70611812,RRL
31536551,DSCT
25566780,RRL
5975290,RRL
107786223,CEP
89863432,EB
93493246,EB
83831127,EB
142522499,CEP
67799353,RRL
140260087,DSCT
31422326,RRL
26535383,CEP
4512422,RRL
72606932,CEP
49152771,CEP
62534514,RRL
46101700,RRL
7672611,RRL
32348356,DSCT
25341120,RRL
19895162,RRL
156167674,EB
150897517,CEP
77213669,EB
138963017,DSCT
44699207,RRL
67524441,RRL
145515875,DSCT
35705835,RRL
40541500,RRL
49531918,RRL
145379014,EB
68590459,DSCT
148678427,CEP
38086001,DSCT
133263695,EB
73716240,DSCT
84334857,DSCT
93184575,CEP
27326379,RRL
68813658,RRL
120899725,CEP
126601452,CEP
34160718,CEP
156413053,DSCT
99172765,DSCT
75535261,EB
115831643,EB
43281156,RRL
92952539,DSCT
157429113,DSCT
118404792,CEP
119725364,DSCT
42728728,RRL
37059360,RRL
5250945,CEP
6838760,EB
139988118,DSCT
4429421,DSCT
114671102,CEP
44712953,RRL
53092237,RRL
73565452,RRL
115921789,CEP
32481625,CEP
33615402,RRL
75803241,EB
120974293,EB
13342934,EB
133015827,DSCT
151293683,DSCT
62087173,CEP
108559610,CEP
137786005,EB
50340443,EB
106457550,DSCT
99457647,DSCT
145579759,CEP
27592977,DSCT
25690448,CEP
83359858,DSCT
94415394,EB
107861257,DSCT
85774204,EB
1283805,RRL
3559494,RRL
121834205,DSCT
78944165,DSCT
97579376,CEP
156562786,CEP
102773417,DSCT
74477868,DSCT
147421630,CEP
153738668,DSCT
67104786,RRL
51193580,DSCT
53558323,CEP
146535981,CEP
1460812,RRL
127143927,EB
103331715,DSCT
154461374,CEP
73067810,CEP
114772991,EB
13579371,CEP
64960439,DSCT
112260939,CEP
145570905,EB
9163939,RRL
47422328,CEP
45087082,CEP
143899547,EB
65114473,DSCT
141377390,CEP
106217302,EB
18983523,CEP
4090466,CEP
15014653,EB
139956593,EB
140921499,EB
9352659,RRL
39272249,DSCT
25147570,RRL
62757880,CEP
140747517,DSCT
130698912,DSCT
68003082,RRL
56961335,CEP
31252358,RRL
42241796,EB
76405621,CEP
146412625,DSCT
11489574,CEP
47541168,RRL
4553765,DSCT
28205677,RRL
158236399,DSCT
151911344,EB
152053160,DSCT
131329340,CEP
15207163,RRL
59224593,RRL
86129805,DSCT
69522491,RRL
77994427,DSCT
29423709,RRL
59487895,CEP
1757541,DSCT
52129625,EB
90264492,CEP
40682613,RRL
45461236,EB
137208064,DSCT
124861981,EB
51244643,CEP
133735620,DSCT
105528314,EB
84049930,EB
144695744,EB
100269154,DSCT
159160202,CEP
133815519,EB
67599943,DSCT
71014195,CEP
33797239,RRL
11147051,RRL
1933715,EB
63439169,RRL
154719752,CEP
96197648,EB
76970698,EB
139031676,EB
107226283,CEP
123456807,DSCT
75280870,EB
37671880,RRL
15015328,DSCT
28582775,RRL
95548787,CEP
54091731,DSCT
112912478,DSCT
71158890,DSCT
76208623,DSCT
96505433,CEP
21491000,DSCT
89969234,CEP
39478403,CEP
44539534,RRL
52729964,EB
27074123,RRL
61729926,EB
77369518,CEP
26743984,RRL
24686805,RRL
18183953,CEP
96346961,CEP
5780563,EB
45557184,RRL
117237121,EB
107777829,EB
56823715,CEP
52676622,RRL
33049078,RRL
38582535,CEP
26875712,EB
37173783,DSCT
22284875,CEP
26846525,DSCT
131532158,DSCT
139810835,EB
134561845,CEP
12260948,RRL
55668813,CEP
87169997,EB
25042287,RRL
1455184,RRL
56700687,EB
100486651,EB
79248029,EB
11578414,DSCT
47290476,DSCT
21140261,RRL
14302683,RRL
119004516,EB
94016455,EB
106234672,EB
97311964,DSCT
120259011,EB
70848303,CEP
113664480,CEP
100982567,CEP
152854270,EB
83406315,CEP
126282794,DSCT
107814275,CEP
122758307,EB
19792827,CEP
10612920,CEP
144883385,DSCT
52752439,DSCT
114163623,DSCT
107519251,DSCT
139026170,CEP
26486810,CEP
28657553,RRL
110399186,CEP
7178390,DSCT
25355359,EB
149072381,EB
119053796,DSCT
82489102,DSCT
57754537,CEP
59648568,RRL
96462164,CEP
56627738,RRL
56271567,DSCT
78132607,DSCT
147276021,EB
10047121,EB
20440209,EB
67110005,RRL
110724263,EB
54403035,RRL
6261017,CEP
48436692,RRL
92717442,CEP
3455506,RRL
17671761,RRL
20012773,CEP
61286137,RRL
5737819,CEP
124318374,EB
43112153,RRL
53695727,EB
81058884,EB
37274280,RRL
23804941,DSCT
68702846,EB
137402991,DSCT
146748412,EB
54138480,CEP
35349443,RRL
99635333,DSCT
91162851,CEP
145310314,CEP
142175314,DSCT
27272928,DSCT
80479432,CEP
84243880,DSCT
142571796,CEP
78903470,EB
127964781,DSCT
31868528,CEP
68438589,CEP
42188486,RRL
23608326,RRL
46661213,DSCT
76672510,CEP
25199567,EB
36020815,DSCT
143926022,EB
157957173,EB
28022191,RRL
53931116,RRL
151649613,EB
101392724,EB
39293051,RRL
146142913,EB
120170210,CEP
42661375,RRL
152184814,DSCT
110987394,CEP
9541159,RRL
36282544,RRL
10182494,CEP
154356256,CEP
12544539,RRL
119343380,EB
124486511,EB
2567637,RRL
13428524,CEP
65960542,EB
25684926,RRL
51509230,CEP
93002824,EB
10485691,RRL
43873842,CEP
13425605,RRL
64901941,RRL
98367659,DSCT
50168167,CEP
134635157,DSCT
55524412,RRL
18187292,DSCT
4674491,RRL
54570679,DSCT
130072664,EB
126986255,CEP
4705022,RRL
134968430,DSCT
6341591,RRL
82150310,EB
113109493,CEP
10358586,RRL
54711051,RRL
1541442,RRL
14954420,EB
55247673,RRL
111108394,DSCT
128263539,DSCT
83059410,EB
40630549,RRL
70333434,DSCT
116445725,EB
63030733,CEP
136889773,DSCT
127584407,EB
68633440,CEP
53948388,RRL
43917857,RRL
97783472,EB
54916981,CEP
59088530,CEP
52173498,RRL
114738710,EB
125930142,EB
61221515,RRL
93066976,DSCT
138970149,CEP
100922397,DSCT
88733584,CEP
65671119,RRL
110536897,CEP
98500088,EB
93797611,EB
76857435,DSCT
36137101,RRL
63547618,RRL
83808114,DSCT
13398263,RRL
22428943,RRL
126542642,EB
47636040,CEP
16496508,DSCT
31584286,DSCT
13601139,DSCT
58857608,EB
123964916,EB
11788880,RRL
68035302,CEP
66500481,DSCT
121495971,CEP
106488465,DSCT
148013922,EB
41996011,EB
9221640,DSCT
32820587,DSCT
84900502,CEP
123890883,EB
84037770,CEP
132046162,CEP
135511375,CEP
94221550,CEP
31794235,DSCT
28527298,EB
148562690,EB
30009912,RRL
110853980,EB
45342331,EB
57767447,CEP
107349521,EB
74707189,EB
41220232,RRL
136422453,CEP
54024585,DSCT
49342922,CEP
77187662,CEP
128107010,EB
54447263,CEP
24385762,RRL
84978495,EB
53315789,CEP
17218373,RRL
112977686,CEP
128130065,CEP
6723517,RRL
19168185,CEP
115370282,CEP
94232202,DSCT
43345302,DSCT
21669761,RRL
58403519,RRL
22068372,CEP
55009663,RRL
19748815,DSCT
138099705,EB
28152794,DSCT
75934953,CEP
19029169,CEP
152699965,EB
120926520,EB
18464373,RRL
109538243,DSCT
51575544,DSCT
11068137,CEP
76237843,DSCT
33572343,CEP
31630831,DSCT
33673970,DSCT
40043616,RRL
17125756,RRL
136833156,CEP
50354377,RRL
46129130,DSCT
88778989,CEP
44123767,RRL
81091127,DSCT
67683659,DSCT
74719852,EB
151678416,EB
57852588,DSCT
87667787,EB
10082393,CEP
4624441,RRL
70574532,DSCT
76789490,EB
9028250,CEP
133360115,CEP
124850975,EB
1938170,RRL
79465149,EB
41930611,EB
94289516,DSCT
101417176,DSCT
100585209,DSCT
131275976,CEP
54167459,DSCT
5816265,CEP
112501637,EB
2792551,EB
111617747,DSCT
21869984,CEP
33976354,RRL
111234423,DSCT
138778563,CEP
111782261,EB
62182987,RRL
68439181,RRL
78202460,EB
2198591,RRL
22896526,RRL
62976429,RRL
115230112,DSCT
102235645,EB
36526215,RRL
76157566,EB
91779585,DSCT
134807335,EB
30017354,CEP
64883800,RRL
87400632,CEP
82873080,DSCT
142273289,EB
74963623,DSCT
93865297,DSCT
150997117,CEP
122089557,EB
52018369,RRL
136543555,EB
123220677,CEP
32854902,CEP
135704473,EB
130966280,CEP
53791959,RRL
10579080,RRL
120217217,DSCT
148810622,CEP
144946876,DSCT
145729603,EB
89345080,DSCT
66554817,DSCT
46522535,RRL
75571846,DSCT
147677580,DSCT
145435368,DSCT
34250168,EB
13570904,CEP
96281310,DSCT
16131057,EB
58948725,DSCT
64771979,RRL
55355323,RRL
122832583,CEP
133649730,CEP
35030398,CEP
9581098,RRL
119002846,EB
3628003,CEP
153994448,EB
70096942,DSCT
140475869,EB
14593027,RRL
16186221,DSCT
121896805,EB
6646304,RRL
65442065,CEP
6819388,RRL
152182070,CEP
11967382,RRL
103781174,EB
22381233,RRL
62122342,RRL
105399102,EB
11404764,RRL
7005617,RRL
11101331,CEP
8322109,DSCT
76093202,DSCT
30621475,DSCT
27816127,RRL
8078558,RRL
85566328,EB
121771295,CEP
22192474,EB
53006981,CEP
46248052,CEP
22390110,RRL
33685570,CEP
58228727,RRL
51820195,RRL
26873545,EB
63699772,RRL
43564988,RRL
61967421,RRL
61077400,DSCT
18959722,DSCT
130170798,EB
94007967,CEP
7314118,RRL
145844648,CEP
43717842,CEP
139684454,DSCT
123034670,CEP
146616555,CEP
47318275,RRL
49309463,EB
31554279,CEP
156631881,DSCT
36538232,RRL
61922523,CEP
98836049,EB
90877748,CEP
115233715,EB
3920659,RRL
40536380,DSCT
31647510,RRL
22535191,RRL
73341868,RRL
117738381,EB
48615340,RRL
78462828,EB
79047851,EB
123924954,DSCT
31194830,DSCT
146458266,EB
135786849,EB
154638752,CEP
102178567,DSCT
73645664,DSCT
103308635,CEP
52926602,RRL
19804471,EB
139734461,EB
56187787,RRL
128162073,EB
92824358,DSCT
60381348,RRL
68458387,DSCT
57794074,CEP
31331430,RRL
68733878,RRL
90315143,DSCT
98945395,DSCT
70471251,DSCT
69689764,CEP
44019912,DSCT
7983144,RRL
154070155,CEP
8469956,RRL
115637440,CEP
65267042,RRL
11262303,DSCT
29685874,RRL
68342127,CEP
86909548,EB
47465484,DSCT
69453694,RRL
14210376,RRL
81109477,DSCT
70622045,RRL
117751667,EB
141500446,EB
30743594,EB
157953656,DSCT
8029704,RRL
85267428,CEP
107740456,EB
29208100,RRL
81220211,CEP
8260406,EB
48507260,RRL
67774713,RRL
12266070,RRL
27867571,RRL
159384683,DSCT
26899372,DSCT
57341913,RRL
61414680,RRL
